PMRecordID,AssetID,PMDueDate,PMCompletedDate,PMCategory,PMFrequency,AssignedTeam,CompletionStatus,ScheduleStatus,DaysOverdue,DataOrigin,IsIllustrative
1,LNG-CMP-002,2024-01-01,2023-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
436,LNG-CMP-062,2024-04-01,2024-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
437,LNG-CMP-062,2024-05-01,2024-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
438,LNG-CMP-062,2024-06-01,2024-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
439,LNG-CMP-062,2024-07-01,2024-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
440,LNG-CMP-062,2024-08-01,2024-07-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
441,LNG-CMP-062,2024-09-01,2024-09-08,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
442,LNG-CMP-062,2024-10-01,2024-09-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
443,LNG-CMP-062,2024-11-01,2024-11-11,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
444,LNG-CMP-062,2024-12-01,2024-12-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
445,LNG-CMP-062,2025-01-01,2024-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
446,LNG-CMP-062,2025-02-01,,Lubrication,Monthly,Mech,Open,Overdue,525.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
447,LNG-CMP-062,2025-03-01,2025-02-27,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
448,LNG-CMP-062,2025-04-01,,Inspection,Monthly,Mech,Open,Overdue,466.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
449,LNG-CMP-062,2025-05-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
450,LNG-CMP-062,2025-06-01,2025-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
451,LNG-CMP-062,2025-07-01,2025-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
452,LNG-CMP-062,2025-08-01,2025-07-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
453,LNG-CMP-062,2025-09-01,2025-08-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
454,LNG-CMP-062,2025-10-01,2025-09-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
455,LNG-CMP-062,2025-11-01,2025-10-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
456,LNG-CMP-062,2025-12-01,2025-12-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
457,LNG-CMP-062,2026-01-01,,Inspection,Monthly,Mech,Open,Overdue,191.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
458,LNG-CMP-062,2026-02-01,2026-02-10,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
459,LNG-CMP-062,2026-03-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,132.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
460,LNG-CMP-062,2026-04-01,2026-04-08,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
461,LNG-CMP-062,2026-05-01,2026-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
462,LNG-CMP-062,2026-06-01,2026-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
463,LNG-CMP-062,2026-07-01,2026-07-06,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
464,LNG-CMP-062,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
465,LNG-CMP-062,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
466,LNG-CMP-062,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
467,LNG-CMP-062,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
468,LNG-CMP-062,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
469,LNG-CMP-067,2024-01-01,2023-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
470,LNG-CMP-067,2024-02-01,2024-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
471,LNG-CMP-067,2024-03-01,2024-03-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
472,LNG-CMP-067,2024-04-01,,Inspection,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
473,LNG-CMP-067,2024-05-01,2024-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
474,LNG-CMP-067,2024-06-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,770.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
475,LNG-CMP-067,2024-07-01,2024-06-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
476,LNG-CMP-067,2024-08-01,2024-08-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
477,LNG-CMP-067,2024-09-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,678.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
478,LNG-CMP-067,2024-10-01,2024-09-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
479,LNG-CMP-067,2024-11-01,2024-11-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
480,LNG-CMP-067,2024-12-01,2024-11-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
481,LNG-CMP-067,2025-01-01,2025-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
482,LNG-CMP-067,2025-02-01,2025-02-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
483,LNG-CMP-067,2025-03-01,2025-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
484,LNG-CMP-067,2025-04-01,,Inspection,Monthly,Mech,Open,Overdue,466.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
485,LNG-CMP-067,2025-05-01,2025-04-28,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
486,LNG-CMP-067,2025-06-01,2025-06-05,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
487,LNG-CMP-067,2025-07-01,,Inspection,Monthly,Mech,Open,Overdue,375.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
488,LNG-CMP-067,2025-08-01,2025-07-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
489,LNG-CMP-067,2025-09-01,2025-09-05,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
490,LNG-CMP-067,2025-10-01,,Inspection,Monthly,Mech,Open,Overdue,283.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
491,LNG-CMP-067,2025-11-01,2025-11-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
492,LNG-CMP-067,2025-12-01,2025-11-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
493,LNG-CMP-067,2026-01-01,2026-01-12,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
494,LNG-CMP-067,2026-02-01,2026-02-10,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
495,LNG-CMP-067,2026-03-01,2026-03-03,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
496,LNG-CMP-067,2026-04-01,2026-03-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
497,LNG-CMP-067,2026-05-01,2026-04-28,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
498,LNG-CMP-067,2026-06-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,40.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
499,LNG-CMP-067,2026-07-01,2026-07-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
500,LNG-CMP-067,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
501,LNG-CMP-067,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
502,LNG-CMP-067,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
503,LNG-CMP-067,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
504,LNG-CMP-067,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
505,LNG-CMP-072,2024-01-01,,Inspection,Monthly,Mech,Open,Overdue,922.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
506,LNG-CMP-072,2024-02-01,,Lubrication,Monthly,Mech,Open,Overdue,891.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
507,LNG-CMP-072,2024-03-01,2024-02-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
508,LNG-CMP-072,2024-04-01,,Inspection,Monthly,Mech,Open,Overdue,831.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
509,LNG-CMP-072,2024-05-01,2024-04-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
510,LNG-CMP-072,2024-06-01,2024-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
511,LNG-CMP-072,2024-07-01,,Inspection,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
512,LNG-CMP-072,2024-08-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
513,LNG-CMP-072,2024-09-01,2024-09-15,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
514,LNG-CMP-072,2024-10-01,2024-09-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
515,LNG-CMP-072,2024-11-01,2024-10-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
516,LNG-CMP-072,2024-12-01,2024-12-15,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
517,LNG-CMP-072,2025-01-01,2025-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
518,LNG-CMP-072,2025-02-01,2025-01-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
519,LNG-CMP-072,2025-03-01,2025-03-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
520,LNG-CMP-072,2025-04-01,2025-04-12,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
521,LNG-CMP-072,2025-05-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
522,LNG-CMP-072,2025-06-01,,Condition Monitoring,Monthly,I&C,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
523,LNG-CMP-072,2025-07-01,2025-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
524,LNG-CMP-072,2025-08-01,2025-07-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
525,LNG-CMP-072,2025-09-01,2025-08-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
526,LNG-CMP-072,2025-10-01,2025-10-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
527,LNG-CMP-072,2025-11-01,2025-11-14,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
528,LNG-CMP-072,2025-12-01,2025-11-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
529,LNG-CMP-072,2026-01-01,2025-12-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
530,LNG-CMP-072,2026-02-01,2026-02-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
531,LNG-CMP-072,2026-03-01,2026-02-27,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
532,LNG-CMP-072,2026-04-01,2026-03-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
533,LNG-CMP-072,2026-05-01,2026-05-12,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
534,LNG-CMP-072,2026-06-01,,Condition Monitoring,Monthly,I&C,Open,Overdue,40.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
535,LNG-CMP-072,2026-07-01,2026-06-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
536,LNG-CMP-072,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
537,LNG-CMP-072,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
538,LNG-CMP-072,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
539,LNG-CMP-072,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
540,LNG-CMP-072,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
541,LNG-CMP-077,2024-01-01,,Inspection,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
542,LNG-CMP-077,2024-02-01,,Lubrication,Monthly,Mech,Open,Overdue,891.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
543,LNG-CMP-077,2024-03-01,,Condition Monitoring,Monthly,I&C,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
544,LNG-CMP-077,2024-04-01,2024-03-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
545,LNG-CMP-077,2024-05-01,2024-04-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
546,LNG-CMP-077,2024-06-01,2024-05-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
547,LNG-CMP-077,2024-07-01,2024-07-12,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
548,LNG-CMP-077,2024-08-01,2024-07-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
549,LNG-CMP-077,2024-09-01,2024-08-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
550,LNG-CMP-077,2024-10-01,2024-09-28,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
551,LNG-CMP-077,2024-11-01,2024-10-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
552,LNG-CMP-077,2024-12-01,2024-11-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
553,LNG-CMP-077,2025-01-01,2025-01-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
554,LNG-CMP-077,2025-02-01,2025-01-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
555,LNG-CMP-077,2025-03-01,2025-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
556,LNG-CMP-077,2025-04-01,2025-03-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
557,LNG-CMP-077,2025-05-01,2025-04-28,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
558,LNG-CMP-077,2025-06-01,2025-06-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
559,LNG-CMP-077,2025-07-01,2025-06-30,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
560,LNG-CMP-077,2025-08-01,2025-07-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
561,LNG-CMP-077,2025-09-01,2025-08-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
562,LNG-CMP-077,2025-10-01,2025-09-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
563,LNG-CMP-077,2025-11-01,,Lubrication,Monthly,Mech,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
564,LNG-CMP-077,2025-12-01,2025-12-14,Condition Monitoring,Monthly,I&C,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
565,LNG-CMP-077,2026-01-01,2026-01-10,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
566,LNG-CMP-077,2026-02-01,2026-02-08,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
567,LNG-CMP-077,2026-03-01,2026-02-28,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
568,LNG-CMP-077,2026-04-01,2026-03-29,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
569,LNG-CMP-077,2026-05-01,,Lubrication,Monthly,Mech,Open,Overdue,71.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
570,LNG-CMP-077,2026-06-01,2026-05-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
571,LNG-CMP-077,2026-07-01,2026-07-05,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
572,LNG-CMP-077,2026-08-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
573,LNG-CMP-077,2026-09-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
574,LNG-CMP-077,2026-10-01,,Inspection,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
575,LNG-CMP-077,2026-11-01,,Lubrication,Monthly,Mech,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
576,LNG-CMP-077,2026-12-01,,Condition Monitoring,Monthly,I&C,Open,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
577,LNG-CMP-082,2024-01-01,2023-12-31,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
578,LNG-CMP-082,2024-02-01,2024-02-06,Lubrication,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
579,LNG-CMP-082,2024-03-01,,Condition Monitoring,Monthly,I&C,Cancelled,Upcoming,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
580,LNG-CMP-082,2024-04-01,2024-04-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
581,LNG-CMP-082,2024-05-01,2024-05-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
582,LNG-CMP-082,2024-06-01,2024-05-29,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
583,LNG-CMP-082,2024-07-01,2024-07-10,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
584,LNG-CMP-082,2024-08-01,2024-07-29,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
585,LNG-CMP-082,2024-09-01,2024-08-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
586,LNG-CMP-082,2024-10-01,2024-10-07,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
587,LNG-CMP-082,2024-11-01,2024-10-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
588,LNG-CMP-082,2024-12-01,2024-11-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
589,LNG-CMP-082,2025-01-01,,Inspection,Monthly,Mech,Open,Overdue,556.0,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
590,LNG-CMP-082,2025-02-01,2025-02-01,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
591,LNG-CMP-082,2025-03-01,2025-03-01,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
592,LNG-CMP-082,2025-04-01,2025-04-15,Inspection,Monthly,Mech,Completed,Completed Late,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
593,LNG-CMP-082,2025-05-01,2025-04-30,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
594,LNG-CMP-082,2025-06-01,2025-05-31,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
595,LNG-CMP-082,2025-07-01,2025-07-01,Inspection,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
596,LNG-CMP-082,2025-08-01,2025-07-31,Lubrication,Monthly,Mech,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
597,LNG-CMP-082,2025-09-01,2025-08-30,Condition Monitoring,Monthly,I&C,Completed,On Time,,Simulated/Generated scheduled maintenance dataset; seed=42; no real operator PM data,True
